date, pm25, o3
2023/4/2, 112, 23
2023/4/3, 64, 23
2023/4/4, 54, 22
2023/4/5, 71, 25
2023/4/6, 88, 28
2023/4/7, 107, 28
2023/4/8, 124, 26
2023/4/9, 96, 32
2023/4/10, 138, 30
2023/4/11, 141, 9
2023/4/12, 129, 
2023/1/3, 136, 17
2023/1/9, 76, 18
2023/1/10, 121, 14
2023/1/11, 190, 16
2023/1/12, 101, 15
2023/1/13, 148, 16
2023/1/14, 159, 15
2023/1/15, 138, 14
2023/1/16, 142, 19
2023/1/17, 115, 14
2023/1/18, 158, 16
2023/1/19, 117, 18
2023/1/20, 95, 18
2023/1/21, 106, 20
2023/1/22, 113, 20
2023/1/23, 124, 14
2023/1/24, 122, 19
2023/1/25, 121, 15
2023/1/26, 105, 12
2023/1/27, 78, 12
2023/1/28, 58, 17
2023/1/29, 70, 18
2023/1/30, 116, 23
2023/1/31, 140, 21
2023/2/1, 163, 18
2023/2/2, 132, 21
2023/2/3, 154, 11
2023/2/4, 163, 18
2023/2/5, 160, 20
2023/2/6, 162, 22
2023/2/7, 177, 16
2023/2/8, 222, 21
2023/2/9, 192, 17
2023/2/10, 172, 19
2023/2/11, 116, 18
2023/2/12, 113, 21
2023/2/13, 172, 15
2023/2/14, 171, 14
2023/2/15, 179, 14
2023/2/16, 186, 9
2023/2/17, 171, 19
2023/2/18, 167, 19
2023/2/19, 151, 18
2023/2/20, 133, 21
2023/2/21, 116, 20
2023/2/22, 110, 18
2023/2/23, 112, 13
2023/2/24, 163, 17
2023/2/25, 198, 7
2023/2/26, 196, 
2023/3/1, 156, 20
2023/3/2, 152, 21
2023/3/3, 156, 24
2023/3/4, 152, 23
2023/3/5, 140, 25
2023/3/6, 155, 23
2023/3/7, 167, 34
2023/3/8, 181, 24
2023/3/9, 197, 16
2023/3/10, 207, 11
2023/3/11, 197, 11
2023/3/12, 158, 8
2023/3/13, 117, 2
2023/3/14, 19, 21
2023/3/16, 11, 17
2023/3/17, 14, 21
2023/3/18, 13, 24
2023/3/19, 17, 17
2023/3/21, 22, 18
2023/3/22, 52, 22
2023/3/23, 59, 23
2023/3/24, 54, 24
2023/3/25, 71, 26
2023/3/26, 90, 30
2023/3/27, 89, 21
2023/3/28, 99, 20
2023/3/29, 109, 25
2023/3/30, 74, 24
2023/3/31, 95, 28
2023/4/1, 114, 22
2022/10/2, 152, 27
2022/10/3, 159, 28
2022/10/4, 168, 14
2022/10/5, 239, 19
2022/10/6, 191, 23
2022/10/7, 180, 17
2022/10/8, 177, 19
2022/10/9, 164, 18
2022/10/10, 169, 24
2022/10/11, 156, 24
2022/10/12, 158, 27
2022/10/13, 167, 21
2022/10/14, 174, 19
2022/10/15, 172, 30
2022/10/16, 166, 27
2022/10/17, 161, 34
2022/10/18, 168, 21
2022/10/19, 172, 22
2022/10/20, 160, 28
2022/10/21, 158, 30
2022/10/22, 159, 34
2022/10/23, 166, 19
2022/10/24, 193, 26
2022/10/25, 158, 27
